English,Ukrainian
turn,обертати
wish,бажання
tomorrow,завтра
kids,дітям
trust,довіра
check,перевіряти
change,зміна
end,кінець
late,пізній
anymore,вже
five,п’ять
least,найменше
town,місто
aren't,не
ha,га
working,робочий
year,рік
makes,складати
taking,прийом
means,засоби
brother,брат
play,грати
hate,ненавидіти
ago,тому
says,говорить
beautiful,гарний
gave,дав
fact,факт
crazy,божевільний
party,партія
sit,сидіти
open,ВІДЧИНЕНО
afraid,боїться
between,між
important,важливий
rest,відпочинок
fun,веселий
kid,дитячий
word,слово
watch,стежити
glad,радісно
everyone,всі
days,дні
sister,сестра
minutes,хвилини
everybody,всі
bit,кут
couple,пара
whoa,ого
either,обидва
Mrs.,Пані.
feeling,почуття
daughter,дочка
wow,Ого
gets,дістатися
asked,запитував
under,під
break,перерву
promise,обіцянка
door,дверима
set,встановити
close,закривати
hand,рука
easy,легкий
question,питання
doctor,лікар
tried,випробуваний
far,далеко
walk,ходити
needs,потреби
trouble,клопот
mine,Шахта
though,хоч
times,час
different,інший
killed,убитий
hospital,лікарня
anybody,будь -хто
Sam or SAM,Сем або Сем
alright,добре
wedding,весілля
shut,закривати
able,здатний
die,загинути
perfect,ідеальний
police,поліція
stand,стояти
comes,приходить
hit,вдарити
story,розповідь
ya,я
mm,мм
waiting,очікування
dinner,вечеря
against,проти
funny,смішний
husband,чоловік
almost,майже
stupid,дурний
pay,оплачувати
answer,відповідати
four,чотири
office,офіс
cool,прохолодний
eyes,очі
news,новини
child,дитина
shouldn't,не повинен
half,половина
side,бік
yours,ваш
moment,миттєво
sleep,сплячий
read,читати
where's,де
started,розпочато
young,молодий
men,чоловіки
sounds,звуки
sonny or Sonny,Сонні чи Сонні
lucky,щасливий
pick,вибирати
sometimes,іноді
em,ЕМ
bed,ліжко
also,також
date,дата
line,лінія
plan,планувати
hours,годинник
lose,втрачати
fire,вогонь
free,безкоштовний
hands,руки
serious,серйозний
Leo,Лев
shit,лайно
behind,ззаду
inside,всередині
high,високий
ahead,попереду
week,тиждень
wonderful,чудовий
T.,Т.
fight,бити
past,минулий
cut,вирізати
quite,досить
number,число
he'll,Він буде
sick,хворий
S.,С.
it'll,це буде
game,грі
eat,їсти
nobody,ніхто
goes,ходити
death,смерть
along,уздовж
save,збагачувати
seems,здається
finally,нарешті
lives,життя
worried,стурбований
upset,засмучений
Theresa,Є
Carly,Карлі
Ethan,Етан
met,зустрінетний
book,книга
brought,приносять
seem,здатися
sort,сортувати
safe,сейф
living,живий
children,дітям
weren't,не було
leaving,відпустка
front,фронт
shot,постріл
loved,любити
asking,прохання
running,біг
clear,чіткий
figure,фігура
hot,гарячий
felt,фетро
six,шість
parents,батьки
drink,пити
absolutely,абсолютно
how's,як
daddy,тато
sweet,солодкий
alive,живий
Paul,Павло
sense,відчуття
meant,орієнтований
happens,трапляється
David,Давид
special,спеціальний
bet,ставити
blood,кров
ain't,не
kidding,жарт
lie,лежати
full,наповнений
meeting,зустріч
dear,дорогий
coffee,кава
seeing,бачення
sound,звук
fault,провина
water,вода
fuck,ебать
ten,десять
women,жінки
John or john,Джон або Джон
welcome,вітати
buy,купувати
months,місяці
hour,година
speak,говорити
lady,леді
Jen,Джен
thinks,думає
Christmas,Різдвяний
body,тіло
order,наказ
outside,зовнішній
hang,підвішувати
possible,можливий
worse,гірше
company,компанія
mistake,помилка
ooh,ой
handle,ручка
spend,витрачати
C.,С.
totally,повністю
giving,дарування
control,КОНТРОЛЬ
here's,Ось
marriage,шлюб
realize,усвідомлювати
D.,D.
power,влада
president,президент
unless,якщо тільки не
sex,секс
girls,дівчата
send,надсилати
needed,необхідний
O. or o,O. або o
taken,знятий
died,загинув
scared,зляканий
picture,картина
talked,розмовляв
Jake,Джейк
Al,Al
ass,дупа
hundred,сотня
changed,змінювати
completely,повністю
explain,пояснювати
playing,гра
certainly,безумовно
sign,підписувати
boys,хлопці
relationship,відносини
Michael,Майкл
loves,люблять
fucking,блядь
hair,волосся
lying,лежачи
choice,вибір
anywhere,де завгодно
secret,таємний
future,майбутнє
weird,дивний
luck,удача
she'll,вона буде
Max or max.,Макс або Макс.
Luis,Луїс
turned,обернутий
known,відомий
touch,торкатися
kiss,поцілувати
Crane or crane,Кран або кран
questions,питання
obviously,очевидно
wonder,диво
pain,біль
calling,покликання
somewhere,десь
throw,кидати
straight,прямо
Grace or grace,Благодать або благодать
cold,холодний
white or White,білий або білий
fast,швидкий
Natalie,Наталі
words,слів
R.,Р.
food,їжа
none,ні
drive,драйв
feelings,почуття
they'll,вони будуть
worked,працював
marry,одружуватися
light,світлий
test,тест
drop,падіння
cannot,не може
Frank,Відвертий
sent,надісланий
city,місто
dream,мріяти
protect,захищати
twenty,двадцять
class,клас
Lucy,Люсі
surprise,здивування
its,його
sweetheart,мила
forever,назавжди
poor,бідний
looked,дивився
mad,шалений
except,за винятком
gun,рушниця
y'know,Знайте
dance,танцювати
takes,приймати
appreciate,оцінювати
especially,особливо
situation,ситуація
besides,до того ж
weeks,тиждень
pull,тягнути
himself,сам
hasn't,не
act,діяти
worth,вартістю
Sheridan,Шерідан
amazing,дивовижний
top,топ
given,даний
expect,розраховувати
Ben,Бен
rather,скоріше
Julian,Юліан
involved,задіяний
swear,присягнути
piece,шматок
busy,зайнятий
law,закон
decided,вирішив
black or Black,Чорний або чорний
Joey,Джої
happening,що відбувається
movie,фільм
we'd,Ми б
catch,виловити
Antonio,Антоніо
country,країна
less,менше
perhaps,можливо
step,крок
fall,падіння
watching,дивлячись
kept,збережений
darling,мила
dog,пес
Ms.,РС.
win,перемогти
air,повітря
honor,честь
personal,особистий
moving,що рухається
till,до
admit,визнати
problems,проблеми
murder,вбивство
strong,сильний
he'd,Він
evil,зло
definitely,безумовно
feels,відчуваючи
information,інформація
honest,чесний
eye,око
broke,зламаний
missed,пропущений
longer,довше
dollars,долари
tired,втомлений
Jason,Джейсон
George,Джордж
evening,вечір
human,людський
starting,старіння
Ross,Росс
red,червоний
entire,цілий
trip,поїздка
Brooke,Брук
E.,Е.
club,клуб
Niles,Ній
suppose,припускати
calm,спокій
imagine,уявляти собі
Todd,Тодд
fair,справедливий
caught,спійманий
B.,Б.
blame,провина
street,вулиця
sitting,сидячий
favor,користь
apartment,квартира
court,суд
terrible,жахливий
clean,чистий
Tony or tony,Тоні чи Тоні
learn,навчитися
Alison,Елісон
Rick,Рик
works,твори
Rose or rose,Троянда або троянда
Frasier,Фрейзьє
relax,розслабитися
York,Йорк
million,мільйон
charity,благодійність
accident,нещасний випадок
wake,прокидатися
prove,доводити
Danny,Денні
smart,розумний
message,повідомлення
missing,пропав
forgot,забутий
small,невеликий
interested,зацікавлений
table,стіл
nbsp,NBSP
become,стати
Craig,Крейг
mouth,рота
pregnant,вагітна
middle,середній
Billy or billy,Біллі або Біллі
ring,кільце
careful,обережний
shall,має
dude,чувак
team,команда
ride,їздити
figured,фігурний
wear,носити
shoot,зйомка
stick,палиця
Ray or ray,Промінь або промінь
follow,дотримуватися
Bo,БО
angry,розлючений
instead,натомість
buddy,приятель
write,писати
stopped,зупинений
early,ранній
Angel or angel,Ангел чи ангел
Nick or nick,Нік або Нік
ran,побігати
war,війна
standing,стоячий
forgive,пробачити
jail,в'язниця
wearing,носіння
Miguel,Мігель
ladies,дами
kinda,якось
lunch,обід
Cristian,Крішціан
eight,вісім
Greenlee,Грінлі
gotten,дістаний
hoping,сподівання
Phoebe,Фебі
thousand,тисяча
ridge,хребет
music,музика
Luke,Лак
paper,паперовий
tough,жорсткий
tape,стрічка
Emily,Емілі
state,держави
count,рахувати
college,коледж
boyfriend,хлопець
proud,гордий
agree,погодитися
birthday,день народження
bill,законопроект
seven,сім
they've,вони
Timmy,Тиммі
history,історія
share,розподіляти
offer,пропозиція
hurry,поспішати
ow,ов
feet,стоп
wondering,цікавий
simple,простий
decision,рішення
building,будівля
ones,одиничний
finish,закінчувати
voice,голос
herself,сама
Chris,Кріс
would've,би
list,список
Kay,Кей
mess,плутати
deserve,заслуговувати
evidence,доказ
cute,милий
Jerry,Джеррі
dress,сукня
Richard,Річард
interesting,цікавий
Jesus,Ісус
James,Джеймс
hotel,готель
enjoy,насолоджуватися
Ryan,Райан
Lindsay,Ліндсей
quiet,тихо
concerned,стурбований
road,дорога
Eve or eve,Єва або Єва
staying,перебування
short,короткий
M.,М.
beat,бити
sweetie,солодка
mention,згадувати
clothes,одяг
finished,закінчений
fell,впадати
neither,ні
mmm,ммм
fix,виправити
Victor or victor,Віктор або Віктор
respect,повага
spent,витрачений
prison,в'язниця
attention,увага
holding,утримуючий
calls,дзвінок
near,близько
surprised,здивований
bar,бар
Beth,Бет
pass,проходити
keeping,утримання
gift,подарунок
hadn't,не було
putting,ставити
dark,темний
self,я
owe,заборгувати
using,використання
Nora,Нора
ice,крижаний
helping,допомога
bitch,сука
normal,нормальний
aunt,тітка
lawyer,юрист
apart,окремо
certain,певний
plans,плани
Jax,Штук
girlfriend,подруга
floor,підлога
whether,чи
everything's,все
present,нинішній
earth,земля
private,приватний
Jessica,Джессіка
box,коробка
Dawson,Доусон
cover,покривати
judge,судити
upstairs,наверх
Alexis,Алексіс
Shawn,Шон
sake,користь
mommy,мама
possibly,можливо
worst,найгірший
